vendor_id,month,security_score,financial_score,news_sentiment,negative_mentions,layoff_detected,incident_next_90d
V000,0,84.15988442192659,75.83952905119862,0.3140785231237764,1,0,0
V000,1,82.70791622897724,75.35334405552956,0.20882723173492382,2,0,0
V000,2,76.64116313174654,79.01761199386004,0.3120083681034922,0,0,0
V000,3,79.41218241354285,81.74446589513477,0.25141770703776495,0,0,0
V000,4,86.25432568334506,71.2692841797347,0.09483809339379677,0,0,0
V000,5,88.19908147049922,74.9734399560791,0.31155745318322225,1,0,0
V000,6,87.08175011425375,74.43722132768893,0.2474020335158745,1,0,0
V000,7,86.23786145698621,72.22024650825985,0.17401797118189677,0,0,0
V000,8,83.27176900551116,70.3965045938285,0.10210690235813989,1,0,0
V000,9,84.1286940091337,79.73249976826483,0.18443441388244924,0,0,0
V000,10,82.43765350021901,75.93980516333701,-0.05731575285385146,0,0,0
V000,11,85.41759494437507,75.21118770459393,-0.01546508052886357,0,0,0
V000,12,84.53773084722404,76.8262487758165,0.05914108366633959,0,0,0
V000,13,85.73431494399836,77.39165365003475,-0.056924862577655444,2,0,0
V000,14,86.00005180718456,71.88179947491105,0.07685073168953885,2,0,0
V000,15,78.70347603472507,74.64484919426144,-0.176092347118575,1,0,0
V000,16,84.84235004117235,74.29280182225703,-0.00597681011093501,0,0,0
V000,17,83.50805748927255,73.05688310132123,0.06443715092874289,2,0,0
V000,18,83.75137759409778,69.73094400103946,-0.0271075691016906,0,0,0
V000,19,84.03841980108255,72.15080572816895,-0.03633857893963466,0,0,0
V000,20,81.61721722503965,68.02519549607435,-0.25417930886188644,0,0,0
V000,21,80.53129820300168,76.768882268233,0.16807415812529064,1,0,0
V000,22,83.55760228232897,71.2013955942552,-0.055566536949223005,0,0,0
V000,23,82.36245106524474,69.06228569453332,-0.05626481103171069,1,0,0
V001,0,87.02952901122931,93.96872886141031,0.28649930946239177,0,0,0
V001,1,84.95418027998309,89.62846677072068,-0.01399564791144621,0,0,0
V001,2,82.17187232802678,94.57154493195041,0.29491055730618265,0,0,0
V001,3,87.02634643547157,95.18531504652464,-0.11608056242210246,1,0,0
V001,4,86.22038898074328,89.7187443791716,0.12328984761857652,2,0,0
V001,5,85.01780041487396,90.40482778859561,-0.047101428752823915,1,0,0
V001,6,90.37715219324791,90.38860569737626,0.0459788409549781,0,0,0
V001,7,80.65178597675944,95.01543794990775,0.044256539990392585,0,0,0
V001,8,82.06621803444311,96.13474017706218,0.010991144763054378,0,0,0
V001,9,80.6960569915498,92.50351351067424,0.17444503356289914,1,0,0
V001,10,85.4327226417594,93.01689684091008,0.21741255333795995,2,0,0
V001,11,86.15339894198036,90.05358096796465,0.173504989057489,0,0,0
V001,12,82.35465663067951,91.61592464477235,0.13296099505773282,1,0,0
V001,13,81.75787140818514,88.43734959703016,0.330579932110176,1,0,0
V001,14,86.0504485437197,89.75461936278056,-0.11274994336070035,1,0,0
